-4488753929477632494,616,"2,447","8,945",2022-05-31 18:05:52
-8950839898329661886,924,"4,276",33.7K,2022-05-30 13:00:47
947312429886247105,"2,763",13.7K,72.6K,2022-05-27 12:00:59
2817088349249915661,84.4K,36.7K,131.2K,2022-05-25 20:08:33
1425134404622553658,"6,068","2,637",21.8K,2022-05-25 20:08:34
8188435058367043343,"3,478","1,860",11.9K,2022-05-25 20:08:34
-6037593695587638785,860,"7,483",17.2K,2022-05-24 21:40:50
1151955305710797827,19.9K,377.4K,1M,2022-05-24 23:43:41
5554922845986475206,"7,862",44.1K,278.4K,2022-05-25 00:55:52
2237551953601116808,"1,322","5,365",56.9K,2022-05-25 00:55:54
3733634704921213095,998,"4,634",52.5K,2022-05-25 00:55:54
2604160242608445148,"1,009","2,036",11.2K,2022-05-20 20:33:16
9179555885991363944,742,"1,014","7,403",2022-05-20 20:33:16
2349436748841651134,225,872,"3,289",2022-05-19 14:42:19
-6351843007237145183,"4,137",12.1K,85.2K,2022-05-16 21:24:34
-7258056410308394964,"1,072","6,326",32K,2022-05-16 21:24:34
-1150051732758175233,907,"3,291",18.1K,2022-05-16 21:24:35
5744213819272119723,949,"1,471","8,033",2022-05-16 13:16:16
-7421799601867208317,"1,024","3,151",16.9K,2022-05-14 15:03:07
-3099025734994347682,378,"1,179","5,027",2022-05-14 15:03:07
-3305790880056268516,999,"2,079",18.3K,2022-05-08 19:01:28
7410765148182372317,"2,644","6,179",113.1K,2022-05-08 15:32:41
-6036377441621460143,812,"1,884",15.7K,2022-05-06 17:01:37
1164763468725666474,608,"1,815",17.7K,2022-05-06 15:31:42
458915735075234896,"7,335",33K,133.3K,2022-05-03 19:17:30
-9201799959410522876,"1,623","4,977",66.7K,2022-05-02 21:35:39
-7680973972814105513,306,680,"3,432",2022-05-02 14:23:36
-2649946700727103758,"1,322","2,153",12.9K,2022-04-29 18:02:23
-6153737770166719981,882,"1,486","7,829",2022-04-29 16:02:42
-9020258535573083702,490,973,"5,707",2022-04-28 20:31:33
1967785483984960353,"1,361","2,463",15.4K,2022-04-28 15:00:47
-2845796613116161827,"3,361","3,263",18K,2022-04-22 21:26:51
-607294942838172561,"2,155","1,955","9,569",2022-04-22 21:00:21
-3996689187147584748,"7,972","8,281",51.3K,2022-04-22 18:22:32
-2556230057319872973,"2,422","3,753",22.1K,2022-04-22 02:46:00
5850854361482474770,694,"1,317","7,918",2022-04-22 02:46:03
-5013882803948986295,532,"1,224","7,361",2022-04-22 02:46:03
661738783279241694,"2,107","4,156",13.9K,2022-04-21 19:22:58
-221502399863270009,236,664,"2,856",2022-04-21 15:00:51
-7925018266343292137,"4,094","5,087",40.2K,2022-04-20 16:02:16
2120356324032028338,302,715,"6,607",2022-04-20 16:02:17
5589020139096068794,501,"1,574","6,940",2022-04-20 16:02:17
-3082516458405341433,"5,992",12.2K,73.9K,2022-04-19 20:48:54
4780376830977884406,871,"4,112",24.5K,2022-04-19 20:48:55
-1496716451420227239,"1,625","2,426",18.6K,2022-04-19 20:48:57
3683528251204223769,462,632,"4,494",2022-04-19 18:03:13
1233688239014255573,"2,074","5,373",66.1K,2022-04-17 14:00:30
-8344195218782721516,"1,810","2,696",33.4K,2022-04-15 21:05:11
-1109798184741344823,598,936,"6,752",2022-04-15 20:30:57
-6878172302940058839,"1,078","3,460",17.3K,2022-04-15 16:06:10
7260814986944901892,32,90,400,2021-11-19 23:02:57
-7397009448113217170,1,0,16,2022-05-31 00:32:18
-8412188487835710880,1,1,23,2022-05-30 13:06:31
-2087348553203798116,0,1,0,2022-05-29 20:03:58
1985834262672100648,0,0,3,2022-05-29 01:02:43
-6396082766259310446,2,11,27,2022-05-28 14:11:41
-568315219483430823,7,5,178,2022-05-27 02:31:03
-8631294518510611692,4,35,87,2022-05-25 02:12:26
-3423920762455077702,0,1,15,2022-05-25 01:51:22
-983606148613174150,4,27,128,2022-05-24 20:57:08
2214786008286623331,1,9,20,2022-05-24 02:33:18
3778285976694852191,5,6,28,2022-05-23 21:14:31
-6936603325626095435,2,2,17,2022-05-23 03:18:30
-1738888525676795755,0,1,13,2022-05-22 15:06:23
-7809638157066977335,0,2,13,2022-05-22 12:55:31
3610464694608011805,0,0,4,2022-05-21 21:05:43
-7669286345331011516,0,2,8,2022-05-20 17:18:58
8869049891936411450,0,2,14,2022-05-19 12:33:07
2947008657667728591,0,0,1,2022-05-18 23:18:37
-246406529966939810,0,0,5,2022-05-16 05:21:41
4239128947995917197,1,0,9,2022-05-16 02:26:30
4704336593010714822,2,1,13,2022-05-16 01:56:27
4116943875164122663,0,0,3,2022-05-16 00:59:48
-2769995747031414873,22,77,317,2022-05-14 23:29:52
8425979325545888749,0,2,23,2022-05-14 18:32:56
8195860085856218009,0,0,3,2022-05-14 01:38:18
7435844183508099244,0,2,4,2022-05-12 19:59:05
6087845588674955772,2,0,5,2022-05-12 00:52:23
8238647595932803849,0,5,14,2022-05-07 21:30:18
-8832149753667014818,0,0,1,2022-05-07 13:28:34
-4787387847216316092,0,3,7,2022-05-07 00:39:55
